,assignees,date filed,patent number,patent title
0,ROFIN-SINAR UK LTD.,"January 18, 2016",9847616,"Laser beam amplification by homogenous pumping of an amplification medium
"
1,ROFIN-SINAR TECHNOLOGIES INC.,"June 17, 2015",9757815,"Method and apparatus for performing laser curved filamentation within
     transparent materials
"
2,ROFIN-SINAR TECHNOLOGIES INC.,"November 12, 2014",9517929,"Method of fabricating electromechanical microchips with a burst ultrafast
     laser pulses
"
3,Rofin-Sinar Laser GmbH,"February 20, 2015",9507239,"Device for frequency conversion of a laser beam generated with a first
     frequency by a laser beam source
"
4,Rofin-Sinar Laser GmbH,"January 4, 2012",9383534,"Packaging for a fiber optic component and manufacturing method thereof
"
5,ROFIN-SINAR UK LTD.,"July 29, 2014",9306366,"Optical amplifier arrangement
"
6,ROFIN-SINAR TECHNOLOGIES INC.,"July 12, 2011",9296066,"Method of material processing by laser filamentation
"
7,ROFIN-SINAR TECHNOLOGIES INC.,"August 2, 2013",9102011,"Method and apparatus for non-ablative, photoacoustic compression machining
     in transparent materials using filamentation by burst ultrafast laser
     pulses
"
8,ROFIN-SINAR TECHNOLOGIES INC.,"July 21, 2014",9102007,"Method and apparatus for performing laser filamentation within transparent
     materials
"
9,Rofin-Sinar Laser GmbH,"October 20, 2011",9081143,"Packaged fiber-optic component and method of manufacturing thereof
"
10,Rofin-Sinar Laser GmbH,"March 15, 2013",9046654,"Fiber optic mode scrambler and a method of manufacturing thereof
"
11,Rofin-Sinar Laser GmbH,"July 25, 2013",8913642,"Slab laser
"
12,Rofin-Sinar UK Ltd.,"October 21, 2008",8116348,"Gas laser device
"
13,Rofin-Sinar UK Ltd.,"January 21, 2010",8009715,"Mode selection technique for a laser
"
14,Rofin-Sinar Laser GmbH,"March 26, 2008",D592683,"Laser apparatus
"
15,Rofin-Sinar Laser GmbH,"October 27, 2004",7200160,"Laser beam source with a laser element containing a thin crystal disk as a
     laser-active medium
"
16,Rofin-Sinar Laser GmbH,"December 14, 2001",6873633," Solid-state laser
"
17,Rofin-Sinar Laser GmbH,"February 21, 2002",6600763," Solid-state laser cooling
"
18,Rofin-Sinar Laser GmbH,"September 14, 1998",6256332," Stripline laser
"
19,Rofin-Sinar Laser GmbH,"February 16, 1999",6201211," Apparatus for welding together two components
"
20,Rofin-Sinar Laser GmbH,"August 10, 1998",6181725," Gas laser having a beam path folded in several planes
"
21,Rofin-Sinar Laser GmbH,"February 10, 1997",5751750," Laser system and method with thermally compensated optics
"
22,Permanova Laser System AB,"November 1, 1995",5619602," Fibre
"
23,Rofin-Sinar Laser GmbH,"September 21, 1992",5353299," Gas laser
"
24,Rofin-Sinar Laser GmbH,"May 29, 1990",5212708," Axial flow gas laser particularly high-power CO.sub.2 laser with DC
     excitation
"
25,Deutsche Forschungsanstalt fuer Luft- und Raumfahrt e.V.,"January 23, 1992",5200971," Gas laser with longitudinal flow
"
26,Rofin-Sinar Laser GmbH,"April 10, 1987",5008896," Gas laser having a discharge tube through which the gas flows in an
     axial direction
"
27,"Rofin-Sinar, Inc.","July 6, 1987",4891820," Fast axial flow laser circulating system
"
28,"Rofin-Sinar, Inc.","May 19, 1988",4864098," High powered beam dump
"
29,"Rofin-Sinar, Inc.","May 20, 1988",4849603," Alignment laser periscope
"
30,Rofin-Sinar Laser GmbH,"September 29, 1988",4839496," Laser welding device for welding hollow sections and flat sections
"
31,"Rofin-Sinar, Inc.","May 19, 1988",4825445," Flowing gas laser discharge tube structure
"
32,"Rofin-Sinar, Inc.","March 31, 1987",4823349," Resonator module and blower module assembly
"
33,Rofin-Sinar Laser GmbH,"July 13, 1987",4807236," Gas laser with high-frequency excitation
"
34,"Rofin-Sinar, Inc.","March 31, 1987",4796275," Floating mirror mount
"
35,Rofin-Sinar Laser GmbH,"March 27, 1986",4723063," Laser welding apparatus
"
36,Rofin-Sinar Laser,"January 30, 1984",4634831," Laser-machining apparatus
"
37,Rofin-Sinar Laser GmbH,"January 30, 1984",4610014," Gas flow laser
"
